,Score,Score,Score,Score,Score
Label,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
Model,,,,,
densenet121_model.hdf5,0.8024146981627296,0.7531194295900177,0.8450367647058823,0.9223214285714285,0.933876811594203
densenet169_model.hdf5,0.8015748031496064,0.7513368983957219,0.8707720588235295,0.9215773809523811,0.9292346014492754
densenet201_model.hdf5,0.8266666666666667,0.7434269162210337,0.8693014705882353,0.9303571428571429,0.9300271739130435
inceptionresnetv2_model.hdf5,0.8040944881889764,0.7721702317290552,0.863970588235294,0.9223214285714285,0.9344429347826088
vgg16_model.hdf5,0.7821522309711286,0.759692513368984,0.8869485294117647,0.9370535714285715,0.9370471014492754
vgg19_model.hdf5,0.7863517060367455,0.7591354723707665,0.8922794117647059,0.9290178571428571,0.9347826086956523
xception_model.hdf5,0.8039895013123359,0.7891042780748663,0.8965073529411764,0.918452380952381,0.9405570652173914
