,Score,Score,Score,Score,Score
Label,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
Model,,,,,
densenet121_model.hdf5,0.8035695538057743,0.8224153297682709,0.8529411764705882,0.9327380952380953,0.9364809782608696
densenet169_model.hdf5,0.7933858267716535,0.8101604278074865,0.8764705882352941,0.9285714285714285,0.917572463768116
densenet201_model.hdf5,0.8286614173228346,0.8211898395721925,0.8806985294117647,0.9333333333333333,0.9269701086956522
inceptionresnetv2_model.hdf5,0.790236220472441,0.7906639928698752,0.8720588235294118,0.9288690476190478,0.9344429347826086
vgg16_model.hdf5,0.7945406824146982,0.8336675579322638,0.8895220588235293,0.9380952380952381,0.9313858695652174
vgg19_model.hdf5,0.8030446194225722,0.8255347593582888,0.8830882352941176,0.9315476190476191,0.9316123188405796
xception_model.hdf5,0.7862467191601049,0.8191844919786095,0.8948529411764706,0.9172619047619048,0.931046195652174
