,Score,Score,Score,Score,Score
Label,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
Model,,,,,
DenseNet121,0.8374866141732283,0.7300657308377897,0.8697352941176472,0.9019613095238095,0.9067980072463767
DenseNet169,0.8293826771653543,0.7381305704099821,0.8646691176470589,0.9139598214285714,0.9121308876811595
DenseNet201,0.8209805774278215,0.7343694295900177,0.8630900735294117,0.9030580357142857,0.9252558876811594
InceptionResNetV2,0.8073469816272966,0.741969696969697,0.865891544117647,0.913985119047619,0.9108514492753622
VGG16,0.8271532808398949,0.7108689839572193,0.8837996323529412,0.9298229166666667,0.9152943840579709
VGG19,0.8366225721784778,0.7032542335115866,0.888983455882353,0.9262633928571429,0.9215732563405796
Xception,0.8271821522309711,0.7398796791443849,0.863685661764706,0.9057544642857143,0.909026268115942
