,Score,Score,Score,Score,Score
Label,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
Model,,,,,
DenseNet121,0.85249343832021,0.7300579322638147,0.8897058823529412,0.9145833333333333,0.9216485507246377
DenseNet169,0.8423097112860892,0.7413101604278075,0.8849264705882354,0.9232142857142857,0.9235733695652174
DenseNet201,0.8326509186351706,0.7347370766488415,0.875,0.9171130952380953,0.9385190217391304
InceptionResNetV2,0.8187926509186352,0.7638146167557932,0.8810661764705883,0.9276785714285714,0.9210824275362319
VGG16,0.8363254593175853,0.706216577540107,0.8988970588235294,0.9337797619047619,0.9294610507246377
VGG19,0.8486089238845145,0.7143493761140819,0.9097426470588235,0.9313988095238095,0.9334239130434784
Xception,0.8429396325459318,0.7625891265597148,0.8810661764705883,0.9191964285714286,0.9267436594202898
