,Score,Score,Score,Score,Score
Label,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
Model,,,,,
DenseNet121,0.853753280839895,0.7999108734402852,0.8909926470588236,0.9202380952380952,0.9165534420289856
DenseNet169,0.8501837270341207,0.7950089126559714,0.8823529411764706,0.9363095238095238,0.9151947463768115
DenseNet201,0.8342257217847769,0.7913324420677362,0.8814338235294118,0.9171130952380953,0.9249320652173914
InceptionResNetV2,0.8183727034120735,0.7837566844919787,0.896875,0.925297619047619,0.9189311594202899
VGG16,0.8430446194225723,0.7715017825311943,0.897610294117647,0.9322916666666666,0.919044384057971
VGG19,0.8428346456692914,0.7691622103386809,0.9003676470588236,0.9266369047619047,0.9329710144927537
Xception,0.8405249343832021,0.7697192513368983,0.8799632352941176,0.908779761904762,0.9237998188405797
