,Score,Score,Score,Score,Score
Label,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
Model,,,,,
DenseNet121,0.8175328083989502,0.7664884135472371,0.8801470588235294,0.9071428571428573,0.9216485507246377
DenseNet169,0.8141732283464568,0.787878787878788,0.8755514705882353,0.9110119047619047,0.9235733695652174
DenseNet201,0.7861417322834645,0.80325311942959,0.8667279411764706,0.9199404761904761,0.9385190217391304
InceptionResNetV2,0.7833070866141733,0.7901069518716577,0.871875,0.9287202380952381,0.9210824275362319
VGG16,0.8061942257217849,0.7496657754010695,0.8808823529411764,0.9333333333333332,0.9294610507246377
VGG19,0.8107086614173228,0.7396390374331551,0.8922794117647058,0.9342261904761905,0.9334239130434784
Xception,0.8227821522309712,0.7901069518716578,0.8770220588235293,0.9105654761904762,0.9267436594202898
