,Score,Score,Score,Score,Score
Label,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
Model,,,,,
DenseNet121,0.8174278215223097,0.8379010695187166,0.8738970588235295,0.9142857142857143,0.9165534420289856
DenseNet169,0.7926509186351706,0.8364527629233511,0.8648897058823529,0.9322916666666666,0.9151947463768115
DenseNet201,0.7751181102362203,0.8407976827094474,0.8654411764705883,0.9206845238095238,0.9249320652173914
InceptionResNetV2,0.7731233595800526,0.8130570409982175,0.883639705882353,0.9279761904761905,0.9189311594202899
VGG16,0.8100787401574802,0.8113859180035651,0.8777573529411764,0.9386904761904762,0.919044384057971
VGG19,0.8049343832020998,0.8013591800356505,0.8806985294117647,0.9318452380952381,0.9329710144927537
Xception,0.8053543307086615,0.8137254901960784,0.8709558823529412,0.9056547619047619,0.9237998188405797
